AgentID,DeferralRate,IsParticipating,EmploymentStatus,Year
DUMMY_EX_454232_009175,0.03,True,Active Continuous,2025
DUMMY_EX_454423_009815,0.07,True,Active Continuous,2025
DUMMY_EX_958555_007345,0.03,True,Active Continuous,2025
DUMMY_EX_447803_008378,0.03,True,Active Continuous,2025
DUMMY_EX_234234_009922,0.09,True,Active Continuous,2025
DUMMY_EX_883356_009498,0.03,True,Active Continuous,2025
DUMMY_NH_683749_001295,0.02,True,Active Continuous,2025
DUMMY_EX_841740_007693,0.06,True,Active Continuous,2025
DUMMY_EX_756686_006985,0.05,True,Active Continuous,2025
DUMMY_EX_633937_009232,0.03,True,Active Continuous,2025
DUMMY_EX_542434_003246,0.03,True,Active Continuous,2025
DUMMY_EX_183275_008199,0.03,True,Active Continuous,2025
DUMMY_EX_817300_004644,0.03,True,Active Continuous,2025
DUMMY_EX_724850_008020,0.03,True,Active Continuous,2025
DUMMY_NH_302914_000799,0.02,True,Active Continuous,2025
DUMMY_NH_105922_001217,0.03,True,Active Continuous,2025
DUMMY_EX_279369_009385,0.03,True,Active Continuous,2025
DUMMY_EX_204316_002187,0.03,True,Active Continuous,2025
DUMMY_EX_861142_005456,0.1,True,Active Continuous,2025
DUMMY_EX_541728_003283,0.04,True,Active Continuous,2025
DUMMY_EX_415845_005465,0.03,True,Active Continuous,2025
DUMMY_EX_749385_003242,0.03,True,Active Continuous,2025
DUMMY_EX_464950_006637,0.06,True,Active Continuous,2025
DUMMY_EX_705303_009647,0.05,True,Active Continuous,2025
DUMMY_EX_904285_002425,0.03,True,Active Continuous,2025
DUMMY_EX_452086_003378,0.03,True,Active Continuous,2025
DUMMY_EX_544709_004267,0.03,True,Active Continuous,2025
DUMMY_EX_287318_006506,0.03,True,Active Continuous,2025
DUMMY_EX_474674_007480,0.03,True,Active Continuous,2025
DUMMY_EX_210323_002026,0.04,True,Active Continuous,2025
DUMMY_EX_222271_003472,0.03,True,Active Continuous,2025
DUMMY_EX_110400_004779,0.03,True,Active Continuous,2025
DUMMY_EX_162427_004710,0.03,True,Active Continuous,2025
DUMMY_EX_679956_008834,0.1,True,Active Continuous,2025
DUMMY_EX_131191_001560,0.09,True,Active Continuous,2025
DUMMY_EX_700652_005512,0.1,True,Active Continuous,2025
DUMMY_EX_519518_007220,0.06,True,Active Continuous,2025
DUMMY_EX_373748_004113,0.01,True,Active Continuous,2025
DUMMY_EX_855321_003425,0.02,True,Active Continuous,2025
